Entity,Type,Town,ZIP,County,Contact Name,Email,Phone,Subject Line,Priority Tier,Est Revenue,Website,Notes,Status
Grand Dominion (Del Webb),HOA/Condo Association,Mundelein,60060,Lake,,,847-566-2403,Exterior Maintenance for Grand Dominion (Del Webb),C,"$5,000",,Del Webb 55+ active adult community; 320 rolling acres; 100 acres open space; 13-acre Lake Dominion; Lakeside Lodge; swimming pools; fitness center | Managed by: Unknown (self-managed lodge office),Phone First
Advantage Management,Property Manager,Skokie,60077,Cook,,,312-751-0900,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",advantage-management.com,"Manages 155+ community associations; 8,000+ units; condos, HOAs, townhomes, cooperatives, commercial, apartment rentals; City of Chicago and suburbs",Phone First
Associa Chicagoland,Property Manager,Schaumburg,60173,Cook,,HelpMeChicagoland@associa.us,847-490-3833,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",associachicagoland.com,"National HOA management company; offices in Schaumburg, Chicago, Plainfield; serves Chicagoland and NW Indiana; AAMC certified | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., ",Ready to Send
FirstService Residential Illinois,Property Manager,Chicago,60601,Cook,,info@realmanage.com,847-459-0000,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",fsresidential.com,"Serves North suburbs including Glenview, Highland Park, Northfield, Northbrook, Park Ridge, Niles, Deerfield; national company",Ready to Send
Foster Premier,Property Manager,Buffalo Grove,60089,Lake,,info@fosterpremier.com,847-459-1222,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",fosterpremier.com,"30+ years serving Illinois; AAMC certified; manages HOAs, condos, townhomes, planned communities; 750 W Lake Cook Rd",Ready to Send
McGill Management,Property Manager,Arlington Heights,60004,Cook,,,312-751-0900,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",mcgillmanagement.com,"Manages condos, HOAs, townhomes; 1314 N Rand Rd, Arlington Heights, IL 60004; manages Vernon Hills communities",Phone First
RealManage Chicago,Property Manager,Chicago,60601,Cook,,HelpMeChicagoland@associa.us,847-490-3833,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",realmanage.com,"National HOA/condo/townhome management; Chicago-based team with national support; multiple suburbs | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., erica.horndasch@associa.us.",Ready to Send
First Community Management,Property Manager,Chicago,60601,Cook,,info@cai-illinois.org,847-459-0000,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",condomanagement.com,25+ years managing HOA and condo associations; exceptional resident services; throughout Chicago,Ready to Send
Hillcrest Management,Property Manager,Chicago,60601,Cook,,info@hillcrestmgmt.com,312-751-0900,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",hillcrestmgmt.com,50+ years experience helping communities; HOA management,Ready to Send
NS Management,Property Manager,Chicago,60601,Cook,,info@nsmanagement.net,312-751-0900,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",nsmanagement.net,"Association and property management for condo, townhome, and HOA communities in Chicagoland",Ready to Send
Braeside Community Management,Property Manager,Hoffman Estates,60169,Cook,,info@cai-illinois.org,312-751-0900,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",https://www.mcgillmanagement.com/contact,"HOA management services; serves Hoffman Estates, Wheeling, Elk Grove Village, Rolling Meadows",Ready to Send
RowCal Arlington Heights,Property Manager,Arlington Heights,60004,Cook,,churchcreek@tutera.com,(847) 506-3200,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",rowcal.com,"Community association management; serves Schaumburg, Palatine, Arlington Heights",Ready to Send
Mperial Asset Management,Property Manager,Palatine,60067,Cook,,info@mperial.com,312-751-0900,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",mperial.com,"Property management company; 110 N Brockway, Palatine; manages Palatine Commons and other communities",Ready to Send
GC Realty & Development,Property Manager,Chicago,60601,Cook,,Contactus@gcrealtyinc.com,630-587-7400,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",gcrealtyinc.com,"Full-service property management; covers Kane, Cook, Lake, McHenry & DuPage County",Ready to Send
Real Property Management NW Chicago Suburbs,Property Manager,Chicago,60601,Cook,,HelpMeChicagoland@associa.us,847-490-3833,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",rpmnwchicago.com,"Professional property management services; tenant screening, leasing, maintenance, evictions | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., erica.horndasch@associa.us.",Ready to Send
Northwest Property Management Corp,Property Manager,Crystal Lake,60014,Lake,,info@hillcrestmgmt.com,312-751-0900,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",northwestpropertymanagement.net,"Serves McHenry, Lake, Kane, DuPage, Cook, Will and Boone counties; HQ in Crystal Lake and Geneva",Ready to Send
Oak and Dale Properties,Property Manager,Chicago,60601,Cook,,info@oakanddaleproperties.com,630-323-8810,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",,"Manages properties in Northbrook, Highland Park, Lake Forest, Deerfield and more",Ready to Send
PACE Management Vernon Hills,Property Manager,Vernon Hills,60061,Lake,,439.frontdesk@hhmhotels.com,(847) 634-9300,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",gopacemanagement.com,Property management company in Vernon Hills; 847-680-8090,Ready to Send
Spectrum Association Management IL,Property Manager,Chicago,60601,Cook,,info@cai-illinois.org,312-751-0900,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",spectrumam.com,"HOA management services; serves Arlington Heights, Lake in the Hills, Vernon Hills and more",Ready to Send
One Arlington Apartments,Apartment Complex,Arlington Heights,60004,Cook,,,(847) 892-1911,Spring Exterior Cleaning — One Arlington Apartments,C,"$6,000",https://www.mcgillmanagement.com/contact,214 units; sophisticated urban amenities; downtown Arlington Heights,Phone First
The Pointe Apartments,Apartment Complex,Arlington Heights,60004,Cook,,customerservice@thepointeapts.com,(847) 908-5155,Spring Exterior Cleaning — The Pointe Apartments,C,"$6,000",thepointeapts.com,Large apartment community in Arlington Heights,Ready to Send
FourNorth Apartments,Apartment Complex,Arlington Heights,60004,Cook,,fournorth@benchmarkdvp.com,(847) 238-2146,Spring Exterior Cleaning — FourNorth Apartments,C,"$6,000",,76 suites; 5 stories residential + 2 stories indoor heated parking; completed 2024; downtown Arlington Heights,Ready to Send
North 680,Apartment Complex,Schaumburg,60173,Cook,,,(847) 258-9559,Spring Exterior Cleaning — North 680,C,"$6,000",north680.com,Luxury apartment community near Woodfield Mall; one and two-bedroom residences,Phone First
The Domaine at Hawthorn Row,Apartment Complex,Schaumburg,60173,Cook,,,(877) 564-8233,Spring Exterior Cleaning — The Domaine at Hawthorn Row,C,"$6,000",,"311 units; meticulously designed, spacious homes",Phone First
Legend Park Apartments,Apartment Complex,Schaumburg,60173,Cook,,villagepark@baapartments.com,(847) 843-2121,Spring Exterior Cleaning — Legend Park Apartments,C,"$6,000",,367-unit multifamily apartment community; acquired by Pensam Residential,Ready to Send
Village Green of Schaumburg,Apartment Complex,Schaumburg,60173,Cook,,,(847) 884-5000,Spring Exterior Cleaning — Village Green of Schaumburg,C,"$6,000",villagegreenschaumburg.com,Large apartment community in Schaumburg,Phone First
The Quin Apartments,Apartment Complex,Schaumburg,60173,Cook,,,(847) 496-7171,Spring Exterior Cleaning — The Quin Apartments,C,"$6,000",thequinapartments.com,Luxury apartments at Algonquin Road and Progress Parkway,Phone First
The Tree House Apartments,Apartment Complex,Schaumburg,60173,Cook,,,(847) 397-3900,Spring Exterior Cleaning — The Tree House Apartments,C,"$6,000",treehouseofschaumburg.com,"Located at 2500 Brush Rd, Schaumburg, IL 60173",Phone First
International Village Schaumburg,Apartment Complex,Schaumburg,60173,Cook,,,(847) 884-5000,Spring Exterior Cleaning — International Village Schaumburg,C,"$6,000",ivschaumburg.com,Premiere location with easy access to major expressways and public transportation,Phone First
Woodbury Place Apartments,Apartment Complex,Schaumburg,60173,Cook,,woodburyplaceapts@rentaladdress.com,(847) 843-8400,Spring Exterior Cleaning — Woodbury Place Apartments,C,"$6,000",,Newly renovated garden-style community on 30 acres of landscaped grounds,Ready to Send
The Winds at Poplar Creek,Apartment Complex,Schaumburg,60173,Cook,,,(224) 339-6422,Spring Exterior Cleaning — The Winds at Poplar Creek,C,"$6,000",,Open one and two-bedroom layouts with contemporary luxuries,Phone First
Arrive Glenview,Apartment Complex,Northbrook,60062,Cook,,arriveglenview@trinity-pm.com,(888) 400-4204,Spring Exterior Cleaning — Arrive Glenview,C,"$6,000",arriveglenview.com,"Luxury studio, 1, and 2-bed apartments; 2550 Waterview Dr; pool, spa, fitness center",Ready to Send
GlenLake Village Apartments,Apartment Complex,Glenview,60025,Cook,,leasing@glenlakeapts.com,(847) 843-2121,Spring Exterior Cleaning — GlenLake Village Apartments,C,"$6,000",,Large apartment community on beautiful stretch of land with green space,Ready to Send
Highpoint at 8000 North,Apartment Complex,Skokie,60077,Cook,,,(847) 270-8000,Spring Exterior Cleaning — Highpoint at 8000 North,C,"$6,000",,"8000 Lincoln Ave, Skokie; 1-BR from $2,304+; 2-BR from $2,835+",Phone First
Optima Old Orchard Woods,Apartment Complex,Skokie,60077,Cook,,,(847) 410-1079,Spring Exterior Cleaning — Optima Old Orchard Woods,C,"$6,000",,"Luxury living; indoor heated pool, gym, tennis court",Phone First
1717 Apartments,Apartment Complex,Evanston,60201,Cook,,1717evanston@greystar.com,(833) 315-2860,Spring Exterior Cleaning — 1717 Apartments,C,"$6,000",,"1717 Ridge Ave, Evanston; 1-BR from $2,925+; 2-BR from $3,434+",Ready to Send
Park Ridge Commons,Apartment Complex,Des Plaines,60016,Cook,,managers@prcapts.com,(847) 744-9052,Spring Exterior Cleaning — Park Ridge Commons,C,"$6,000",parkridgecommons.com,"Luxury apartments; 9030 Kennedy Dr; units 520-1,125 sq ft; from $1,331",Ready to Send
Briarwood Terrace Apartments,Apartment Complex,Prospect Heights,60070,Cook,,binfo@briarwoodapartments.com,(847) 229-9229,Spring Exterior Cleaning — Briarwood Terrace Apartments,C,"$6,000",,"Pet-friendly upgraded community; near Wheeling, Arlington Heights, Palatine, Mount Prospect",Ready to Send
Foxboro Apartments,Apartment Complex,Wheeling,60090,Cook,,,(847) 541-0150,Spring Exterior Cleaning — Foxboro Apartments,C,"$6,000",,"Convenient Wheeling location near shopping, dining, recreation, and major employers",Phone First
Village Park Apartments,Apartment Complex,Hoffman Estates,60169,Cook,,leasing@glenlakeapts.com,(847) 843-2121,Spring Exterior Cleaning — Village Park Apartments,C,"$6,000",villageparkhe.com,"Studio, 1, 2, and 3 bedroom apartments including loft-style townhomes; newly remodeled",Ready to Send
Everleigh Vernon Hills,Apartment Complex,Vernon Hills,60061,Lake,,439.frontdesk@hhmhotels.com,(847) 634-9300,Spring Exterior Cleaning — Everleigh Vernon Hills,C,"$6,000",liveeverleigh.com,"55+ community in Vernon Hills; near Mundelein, Buffalo Grove, Lincolnshire",Ready to Send
Spring Meadows Libertyville,Apartment Complex,Libertyville,60048,Lake,,,(847) 816-6644,Spring Exterior Cleaning — Spring Meadows Libertyville,C,"$6,000",,"100 apartments for older adults; 901 Florsheim Drive, 60048",Phone First
Schaumburg Corporate Center,Office Park,Schaumburg,60173,Cook,,mhrs.chirs.rshcc.sales@renaissancehotels.com,(847) 303-4100,Building Exterior Maintenance — Schaumburg Corporate Center,B,"$12,000",schaumburgcorporatecenter.com,"3-building, 1 million sq ft office complex; 4-story glass atrium; conference center; health club; 500-car parking deck; managed by Glenstar",Ready to Send
Corporate Woods Vernon Hills,Office Park,Vernon Hills,60061,Lake,,439.frontdesk@hhmhotels.com,(847) 634-9300,Building Exterior Maintenance — Corporate Woods Vernon Hills,B,"$12,000",,"340-acre mixed-use; 60+ buildings; 3M+ sq ft; tenants include Mitsubishi, ZF, Fuji USA, Oil-Dri, Sysmex, Ali Group, HydraForce, Kanaflex",Ready to Send
NorthShore Highland Park Hospital Campus,Hospital/Medical,Highland Park,60035,Lake,,,847-926-4208,Facility Exterior Maintenance — NorthShore Highland Park Hospital Campus,A,"$18,000",,Hospital campus with medical offices; part of Endeavor Health,Phone First
Illinois Science & Technology Park,Office Park,Skokie,60077,Cook,,info@realmanage.com,847-459-0000,Building Exterior Maintenance — Illinois Science & Technology Park,B,"$12,000",https://www.caionline.org/JoinNow/Pages/default.aspx,"22.6-acre park; includes 178,246 sq ft office building at 4901 Searle Parkway; NorthShore lease for telehealth, data center",Ready to Send
Northwest Community Hospital Campus,Hospital/Medical,Arlington Heights,60004,Cook,,info@cai-illinois.org,(847) 301-7505,Facility Exterior Maintenance — Northwest Community Hospital Campus,A,"$18,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Major hospital with extensive campus and medical office buildings,Ready to Send
Advocate Lutheran General Hospital Campus,Hospital/Medical,Park Ridge,60068,Cook,,,847-723-2210,Facility Exterior Maintenance — Advocate Lutheran General Hospital Campus,A,"$18,000",,Large hospital campus with multiple medical office buildings | Managed by: Advocate Health,Phone First
Advocate Condell Medical Center Campus,Hospital/Medical,Libertyville,60048,Lake,,,847-362-2900,Facility Exterior Maintenance — Advocate Condell Medical Center Campus,A,"$18,000",,Major hospital campus with medical offices in Lake County | Managed by: Advocate Health,Phone First
"Patrick Dealer Group (BMW, MINI, Cadillac, Volvo, Land Rover, Hyundai, Genesis)",Car Dealership,Schaumburg,60173,Cook,,propertymanagement@inlandgroup.com,(630) 218-8000,"Dealership Exterior Cleaning — Patrick Dealer Group (BMW, MINI, Cadillac, Volvo, Land Rover, Hyundai, Genesis)",C,"$4,000",patrickcars.com,"Multi-brand dealer group near Woodfield Mall; serves Arlington Heights, Barrington, Buffalo Grove, Lake Forest, Highland Park, Evanston | Key contacts: propertymanagement@inlandgroup.com., YouMatter@i",Ready to Send
Schaumburg Ford (Bob Rohrman),Car Dealership,Schaumburg,60173,Cook,,kevin.gordon@rohrmanauto.com,(847) 605-0800,Dealership Exterior Cleaning — Schaumburg Ford (Bob Rohrman),C,"$4,000",bobrohrmanschaumburgford.com,Ford dealership in Schaumburg,Ready to Send
Zeigler Chrysler Dodge Jeep RAM Schaumburg,Car Dealership,Schaumburg,60173,Cook,,leads@zeiglerschaumburgcdjmf.com,(847) 882-2200,Dealership Exterior Cleaning — Zeigler Chrysler Dodge Jeep RAM Schaumburg,C,"$4,000",https://www.zeigler.com/contact.htm,Major CDJR dealership in Schaumburg,Ready to Send
Zeigler Chevrolet Schaumburg,Car Dealership,Schaumburg,60173,Cook,,leads@zeiglerschaumburgcdjmf.com,(847) 882-2200,Dealership Exterior Cleaning — Zeigler Chevrolet Schaumburg,C,"$4,000",https://www.zeigler.com/contact.htm,Chevrolet dealership in Schaumburg,Ready to Send
Schaumburg Toyota,Car Dealership,Schaumburg,60173,Cook,,,(877) 232-7530,Dealership Exterior Cleaning — Schaumburg Toyota,C,"$4,000",,Toyota dealership in Schaumburg,Phone First
Napleton's Schaumburg Subaru,Car Dealership,Schaumburg,60173,Cook,,mtownsend@napletonmail.com,(847) 882-5050,Dealership Exterior Cleaning — Napleton's Schaumburg Subaru,C,"$4,000",,Subaru dealership in Schaumburg,Ready to Send
Napleton's Schaumburg Buick GMC,Car Dealership,Schaumburg,60173,Cook,,mtownsend@napletonmail.com,(847) 882-5050,Dealership Exterior Cleaning — Napleton's Schaumburg Buick GMC,C,"$4,000",schaumburgbuickgmc.com,"100 West Golf Road, Schaumburg",Ready to Send
Schaumburg Kia,Car Dealership,Schaumburg,60173,Cook,,,(847) 908-0502,Dealership Exterior Cleaning — Schaumburg Kia,C,"$4,000",schaumburgkia.com,Kia dealership in Schaumburg,Phone First
Napleton's Schaumburg Mazda,Car Dealership,Schaumburg,60173,Cook,,mtownsend@napletonmail.com,(847) 882-5050,Dealership Exterior Cleaning — Napleton's Schaumburg Mazda,C,"$4,000",,Mazda dealership in Schaumburg,Ready to Send
Schaumburg Honda Automobiles,Car Dealership,Schaumburg,60173,Cook,,,(847) 884-6632,Dealership Exterior Cleaning — Schaumburg Honda Automobiles,C,"$4,000",schaumburghondaautos.com,Family-owned since 1963,Phone First
Land Rover Schaumburg,Car Dealership,Schaumburg,60173,Cook,,info@landroverschaumburg.com,(847) 252-7800,Dealership Exterior Cleaning — Land Rover Schaumburg,C,"$4,000",landroverschaumburg.com,"920 W Golf Rd, Schaumburg, IL 60194",Ready to Send
CarMax Schaumburg,Car Dealership,Schaumburg,60173,Cook,,,(847) 839-8000,Dealership Exterior Cleaning — CarMax Schaumburg,C,"$4,000",,Used car superstore in Schaumburg,Phone First
Lexus of Arlington,Car Dealership,Arlington Heights,60004,Cook,,info@lexusofarlington.com,(847) 991-0444,Dealership Exterior Cleaning — Lexus of Arlington,C,"$4,000",lexusofarlington.com,Lexus dealership; near Schaumburg and Highland Park,Ready to Send
Muller Honda Highland Park,Car Dealership,Highland Park,60035,Lake,,contact@muller-honda.com,(847) 433-7200,Dealership Exterior Cleaning — Muller Honda Highland Park,C,"$4,000",muller-honda.com,Showroom and service on Skokie Valley Road,Ready to Send
Muller Subaru Highland Park,Car Dealership,Highland Park,60035,Lake,,contact@muller-honda.com,(847) 433-7200,Dealership Exterior Cleaning — Muller Subaru Highland Park,C,"$4,000",mullersubaru.com,Subaru dealership serving Lake County,Ready to Send
Muller Volkswagen Highland Park,Car Dealership,Highland Park,60035,Lake,,contact@muller-honda.com,(847) 433-7200,Dealership Exterior Cleaning — Muller Volkswagen Highland Park,C,"$4,000",mullervolkswagen.com,VW dealership; 10 miles north of Old Orchard,Ready to Send
Genesis of Highland Park,Car Dealership,Highland Park,60035,Lake,,contact@muller-honda.com,(847) 433-7200,Dealership Exterior Cleaning — Genesis of Highland Park,C,"$4,000",genesisofhighlandpark.com,Genesis dealership serving Lake County area,Ready to Send
Gregory Hyundai Highland Park,Car Dealership,Highland Park,60035,Lake,,contact@muller-honda.com,(847) 433-7200,Dealership Exterior Cleaning — Gregory Hyundai Highland Park,C,"$4,000",gregoryhyundai.com,Hyundai dealership near Libertyville,Ready to Send
Highland Park Lincoln,Car Dealership,Highland Park,60035,Lake,,contact@muller-honda.com,(847) 433-7200,Dealership Exterior Cleaning — Highland Park Lincoln,C,"$4,000",lincolnofhighlandpark.com,"Premier Northshore Lincoln dealership; serves Deerfield, Northbrook, Lake Bluff, Lincolnshire, Vernon Hills",Ready to Send
Napleton Cadillac of Northbrook,Car Dealership,Northbrook,60062,Cook,,bnugent@shopnapelton.com,(847) 786-5133,Dealership Exterior Cleaning — Napleton Cadillac of Northbrook,C,"$4,000",napletoncadillacnorthbrook.com,"Cadillac dealership serving Skokie, Highland Park, Glenview",Ready to Send
AutoNation Toyota Libertyville,Car Dealership,Libertyville,60048,Lake,,,(224) 993-9001,Dealership Exterior Cleaning — AutoNation Toyota Libertyville,C,"$4,000",autonationtoyotalibertyville.com,"Serves Mundelein, Vernon Hills, Gurnee, Lake Forest, Waukegan",Phone First
Libertyville Chevrolet,Car Dealership,Libertyville,60048,Lake,,,(847) 932-3000,Dealership Exterior Cleaning — Libertyville Chevrolet,C,"$4,000",libertyvillechevrolet.com,"Serves Gurnee, Waukegan, Mundelein, Lake Forest, Highland Park, Buffalo Grove, Vernon Hills",Phone First
Libertyville Happy Hyundai,Car Dealership,Libertyville,60048,Lake,,,(224) 207-7200,Dealership Exterior Cleaning — Libertyville Happy Hyundai,C,"$4,000",libertyvillehyundai.com,"901 S Milwaukee Ave; serves Libertyville, Gurnee, Vernon Hills, Lake Forest, Waukegan, Mundelein",Phone First
Napleton Ford Libertyville,Car Dealership,Libertyville,60048,Lake,,,(847) 362-4616,Dealership Exterior Cleaning — Napleton Ford Libertyville,C,"$4,000",napletonfordlibertyville.com,"Serves Libertyville, Waukegan, Lake Zurich, Gurnee, Buffalo Grove, Arlington Heights",Phone First
"Liberty Auto Plaza (Nissan, VW, Kia)",Car Dealership,Libertyville,60048,Lake,,,(847) 680-8000,"Dealership Exterior Cleaning — Liberty Auto Plaza (Nissan, VW, Kia)",C,"$4,000",,"920 S Milwaukee Ave; multi-brand dealer; serves Mundelein, Vernon Hills, Lincolnshire, Grayslake, Gurnee, Waukegan",Phone First
McGrath Acura of Libertyville,Car Dealership,Libertyville,60048,Lake,,,(847) 860-7333,Dealership Exterior Cleaning — McGrath Acura of Libertyville,C,"$4,000",mcgrathacuralibertyville.com,"#1 Acura dealer in IL; near Vernon Hills, Mundelein, Northbrook, Highland Park",Phone First
Classic Toyota Waukegan,Car Dealership,Waukegan,60085,Lake,,,(847) 232-6246,Dealership Exterior Cleaning — Classic Toyota Waukegan,C,"$4,000",classicdealergroup.com,"Part of Classic Dealer Group; serves Kenosha, Gurnee, Libertyville, Fox Lake",Phone First
Classic Kia Waukegan,Car Dealership,Waukegan,60085,Lake,,,(847) 232-6246,Dealership Exterior Cleaning — Classic Kia Waukegan,C,"$4,000",,"Part of Classic Dealer Group; serves Kenosha, Gurnee, Libertyville, Fox Lake",Phone First
Old Orchard Nissan,Car Dealership,Skokie,60077,Cook,,,(847) 965-3460,Dealership Exterior Cleaning — Old Orchard Nissan,C,"$4,000",oldorchardnissan.com,"5240 Golf Road, Skokie, IL 60077; Nissan dealership near Chicago",Phone First
Sherman Dodge Chrysler Jeep Ram Skokie,Car Dealership,Skokie,60077,Cook,,alexk@asisusedcars.com,(847) 416-8659,Dealership Exterior Cleaning — Sherman Dodge Chrysler Jeep Ram Skokie,C,"$4,000",https://www.amres.co/,Major CDJR dealership in Skokie,Ready to Send
McGrath Evanston Subaru,Car Dealership,Evanston,60201,Cook,,kpauli@mcgrathevanstonsubaru.com,(847) 869-5700,Dealership Exterior Cleaning — McGrath Evanston Subaru,C,"$4,000",,Subaru dealership in Evanston,Ready to Send
Bredemann Toyota Park Ridge,Car Dealership,Park Ridge,60068,Cook,,managers@prcapts.com,(847) 744-9052,Dealership Exterior Cleaning — Bredemann Toyota Park Ridge,C,"$4,000",,Toyota dealership in Park Ridge area,Ready to Send
Napleton Honda of Morton Grove,Car Dealership,Morton Grove,60053,Cook,,info@fosterpremier.com,847-459-1222,Dealership Exterior Cleaning — Napleton Honda of Morton Grove,C,"$4,000",https://fosterpremier.com/contact-us/proposal-request/,Honda dealership in Morton Grove,Ready to Send
Toyota of Lincolnwood,Car Dealership,Lincolnwood,60712,Cook,,,(847) 675-7100,Dealership Exterior Cleaning — Toyota of Lincolnwood,C,"$4,000",toyotalincolnwood.com,"Serves Skokie, Evanston, Des Plaines, Morton Grove, Niles",Phone First
Renaissance Schaumburg Convention Center Hotel,Other Commercial,Schaumburg,60173,Cook,,mhrs.chirs.rshcc.sales@renaissancehotels.com,(847) 303-4100,Commercial Exterior Maintenance — Renaissance Schaumburg Convention Center Hotel,C,"$5,000",,Hotel connected to Schaumburg Convention Center; large conference hotel,Ready to Send
Embassy Suites by Hilton Schaumburg Woodfield,Other Commercial,Schaumburg,60173,Cook,,chisb_ds@hilton.com,(847) 945-4500,Commercial Exterior Maintenance — Embassy Suites by Hilton Schaumburg Woodfield,C,"$5,000",,Full-service hotel near Woodfield Mall; convention center partner,Ready to Send
Hyatt Regency Schaumburg,Other Commercial,Schaumburg,60173,Cook,,chirw.rfp@hyatt.com,(847) 945-3400,Commercial Exterior Maintenance — Hyatt Regency Schaumburg,C,"$5,000",,"Major hotel near Woodfield Mall; 7.8 rating from 1,250 reviews",Ready to Send
Hilton Garden Inn Schaumburg,Other Commercial,Schaumburg,60173,Cook,,,(847) 524-0455,Commercial Exterior Maintenance — Hilton Garden Inn Schaumburg,C,"$5,000",,Hotel in Schaumburg near Woodfield area,Phone First
Hampton Inn & Suites Schaumburg,Other Commercial,Schaumburg,60173,Cook,,chisb_ds@hilton.com,(847) 541-8771,Commercial Exterior Maintenance — Hampton Inn & Suites Schaumburg,C,"$5,000",,Hotel in Schaumburg,Ready to Send
Courtyard by Marriott Schaumburg Woodfield Mall,Other Commercial,Schaumburg,60173,Cook,,chisb_ds@hilton.com,(847) 619-8100,Commercial Exterior Maintenance — Courtyard by Marriott Schaumburg Woodfield Mall,C,"$5,000",https://marriottglobal.com/supply-chain,Hotel near Woodfield Mall | Managed by: Simon Property Group,Ready to Send
TownePlace Suites by Marriott Schaumburg,Other Commercial,Schaumburg,60173,Cook,,chisb_ds@hilton.com,(847) 541-8771,Commercial Exterior Maintenance — TownePlace Suites by Marriott Schaumburg,C,"$5,000",https://marriottglobal.com/supply-chain,Extended stay hotel in Schaumburg,Ready to Send
Renaissance Chicago North Shore Hotel,Other Commercial,Northbrook,60062,Cook,,HelpMeChicagoland@associa.us,(847) 303-4100,Commercial Exterior Maintenance — Renaissance Chicago North Shore Hotel,C,"$5,000",https://www.cbre.com/about-us/contact-us,"Hotel with spacious guestrooms in Northbrook | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., erica.horndasch@associa.us.",Ready to Send
Sheraton Chicago Northbrook,Other Commercial,Northbrook,60062,Cook,,HelpMeChicagoland@associa.us,847-490-3833,Commercial Exterior Maintenance — Sheraton Chicago Northbrook,C,"$5,000",https://www.cbre.com/about-us/contact-us,"Hotel with fitness center, restaurant, bar; private parking | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., erica.horndasch@associa.us.",Ready to Send
Hyatt Regency Deerfield,Other Commercial,Deerfield,60015,Lake,,chirw.rfp@hyatt.com,(847) 945-3400,Commercial Exterior Maintenance — Hyatt Regency Deerfield,C,"$5,000",,Modern guest rooms; StayFit health club; free WiFi,Ready to Send
Embassy Suites Deerfield,Other Commercial,Deerfield,60015,Lake,,chisb_ds@hilton.com,(847) 945-4500,Commercial Exterior Maintenance — Embassy Suites Deerfield,C,"$5,000",,Newly renovated; near Lake-Cook Road; Cadwell's Grill & Lounge,Ready to Send
Holiday Inn Express Deerfield Lincolnshire,Other Commercial,Deerfield,60015,Lake,,hixriverwoods@gmail.com,(847) 374-0260,Commercial Exterior Maintenance — Holiday Inn Express Deerfield Lincolnshire,C,"$5,000",,"Hot tub, 24-hour fitness center, free reception, daily breakfast",Ready to Send
Marriott Lincolnshire Resort,Other Commercial,Lincolnshire,60069,Lake,,eric.bates@chicagomarriottlincolnshire.com,(847) 634-0100,Commercial Exterior Maintenance — Marriott Lincolnshire Resort,C,"$5,000",https://marriottglobal.com/supply-chain,Full-service resort hotel in Lincolnshire,Ready to Send
Staybridge Suites Lincolnshire,Other Commercial,Lincolnshire,60069,Lake,,natalie.moskalyk@carmelhospitality.com,(847) 821-0002,Commercial Exterior Maintenance — Staybridge Suites Lincolnshire,C,"$5,000",,"Extended stay hotel; fitness center, garden, shared lounge, terrace",Ready to Send
Hotel Indigo Vernon Hills,Other Commercial,Vernon Hills,60061,Lake,,439.frontdesk@hhmhotels.com,(847) 634-9300,Commercial Exterior Maintenance — Hotel Indigo Vernon Hills,C,"$5,000",,"11 miles from Six Flags; fitness center, restaurant, bar, indoor pool",Ready to Send
Hampton Inn & Suites Lincolnshire,Other Commercial,Lincolnshire,60069,Lake,,natalie.moskalyk@carmelhospitality.com,(847) 478-1400,Commercial Exterior Maintenance — Hampton Inn & Suites Lincolnshire,C,"$5,000",,"Restaurant, indoor pool, bar/lounge",Ready to Send
Willow Creek Community Church - South Barrington,Church/Religious,South Barrington,60010,Cook,,info@cai-illinois.org,(847) 506-3200,Campus Exterior Maintenance — Willow Creek Community Church - South Barrington,D,"$3,000",willowcreek.org,"5th largest megachurch in US; 25,743 weekly visitors; 90-acre campus; 7,200-seat auditorium (opened 2004); massive building complex",Ready to Send
Willow Creek Community Church - North Shore,Church/Religious,Glenview,60025,Cook,,info@cai-illinois.org,(847) 506-3200,Campus Exterior Maintenance — Willow Creek Community Church - North Shore,D,"$3,000",willowcreek.org,"Satellite campus at 2200 Shermer Rd, Glenview, IL 60026; large building",Ready to Send
